iter	Logloss
0	0.6815645933
1	0.6690473817
2	0.6573836079
3	0.6450200922
4	0.6336328051
5	0.6216794318
6	0.6112648393
7	0.6007803171
8	0.5902660324
9	0.5778754228
10	0.5648968391
11	0.5527472012
12	0.5457984479
13	0.5339502598
14	0.5244506214
15	0.5151395195
16	0.5059954035
17	0.4964024952
18	0.4885149052
19	0.4805695307
20	0.472695795
21	0.4644718456
22	0.4568570025
23	0.4498427778
24	0.4426577505
25	0.4357667882
26	0.4273324674
27	0.4210340528
28	0.4154256396
29	0.4095376448
30	0.402291553
31	0.3949903067
32	0.3870966182
33	0.3819515429
34	0.3756256162
35	0.3685574341
36	0.3624218686
37	0.3582247886
38	0.3509862081
39	0.3459425121
40	0.3408772938
41	0.3365468536
42	0.3319951962
43	0.3271599771
44	0.3222419324
45	0.3166945444
46	0.3114910285
47	0.3068114686
48	0.3032810612
49	0.299354546
50	0.2954676658
51	0.291315611
52	0.287028131
53	0.2836821436
54	0.2792953129
55	0.275712211
56	0.2719574241
57	0.2680572279
58	0.2641402251
59	0.2596591324
60	0.2567439933
61	0.253226931
62	0.2506979755
63	0.2469270609
64	0.2435969237
65	0.2400463093
66	0.236709223
67	0.2330485353
68	0.2296742772
69	0.2266204757
70	0.2240072955
71	0.2203920349
72	0.2177788646
73	0.2150334278
74	0.2116976692
75	0.2094317046
76	0.2058352961
77	0.2034426799
78	0.2010246524
79	0.1987852829
80	0.1965844423
81	0.194371488
82	0.1920656712
83	0.1894294586
84	0.1860094885
85	0.1840947611
86	0.1818828026
87	0.1800806519
88	0.1779132362
89	0.1759034213
90	0.1746248135
91	0.1725245656
92	0.1698155923
93	0.1679795744
94	0.1660675712
95	0.1637719173
96	0.1619010311
97	0.1602012625
98	0.1584976733
99	0.1563736208
100	0.154275678
101	0.1530027181
102	0.1518010819
103	0.1500716752
104	0.1485022282
105	0.1473998053
106	0.1458112092
107	0.1442729654
108	0.1422081162
109	0.1406449857
110	0.1392480688
111	0.1379828853
112	0.1364361733
113	0.1347626879
114	0.1337272236
115	0.1324531552
116	0.1311179101
117	0.1299074108
118	0.128698359
119	0.1272357169
120	0.1255821426
121	0.124218347
122	0.1228610401
123	0.1213769646
124	0.1200452637
125	0.1190868666
126	0.1182149023
127	0.1174614025
128	0.1165323337
129	0.1152865639
130	0.1141533088
131	0.1131476529
132	0.112023028
133	0.1111107407
134	0.1101809637
135	0.1091377338
136	0.108188773
137	0.1072229571
138	0.1060800214
139	0.1051875856
140	0.1042002638
141	0.1034373729
142	0.1025106417
143	0.1016764721
144	0.1005940361
145	0.09970589596
146	0.09891848637
147	0.09764208623
148	0.09684169222
149	0.09588622521
150	0.0948209392
151	0.09386830064
152	0.0929723744
153	0.09199292693
154	0.09099118046
155	0.09019055965
156	0.08951809367
157	0.08868820686
158	0.08792382193
159	0.08698719389
160	0.08632171181
161	0.08577888054
162	0.08541966203
163	0.08496368437
164	0.08446386715
165	0.08382344436
166	0.08317706104
167	0.08269207774
168	0.0819687882
169	0.08136202316
170	0.08068044836
171	0.08004329282
172	0.07934002944
173	0.07864517849
174	0.07802391749
175	0.07728325588
176	0.0765612279
177	0.07611121804
178	0.07559394255
179	0.07487501707
180	0.07425477699
181	0.07365373374
182	0.07303482478
183	0.07249935075
184	0.07196391492
185	0.0713666523
186	0.07089267421
187	0.07044996799
188	0.07008465821
189	0.0695766547
190	0.0690038116
191	0.0683002292
192	0.06758214891
193	0.06701606165
